---,Actor,Location,Rotation,Scale,Meshes
Row_17,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1108.457365,Y=53.095243,Z=6.136237)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.142102,Y=1.142102,Z=1.142102)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_18,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1091.508000,Y=478.792957,Z=11.061630)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=3.318584,Y=3.318584,Z=3.318584)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var6_lod1.S_Thatching_Grass_uddmcgbia_Var6_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_19,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1096.534367,Y=406.162377,Z=1.034463)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=3.674583,Y=3.674583,Z=3.674583)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var5_lod1.S_Thatching_Grass_uddmcgbia_Var5_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_20,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1115.000000,Y=-1010.000000,Z=560.000000)","(Pitch=0.000000,Yaw=-179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Floor_100cm_A_001.SM_Arena_Courtyard_Floor_100cm_A_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_B_004""')))"
Row_21,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1073.485577,Y=529.970981,Z=-1.819650)","(Pitch=0.000000,Yaw=49.999999,Roll=0.000000)","(X=3.153091,Y=3.153091,Z=3.153091)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var18_lod1.S_Thatching_Grass_uddmcgbia_Var18_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_22,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1094.997721,Y=-932.983264,Z=0.000032)","(Pitch=0.000000,Yaw=119.999999,Roll=0.000000)","(X=3.733450,Y=3.733450,Z=3.733450)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var2_lod1.S_Thatching_Grass_uddmcgbia_Var2_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_23,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1095.688258,Y=-988.184819,Z=0.000038)","(Pitch=0.000000,Yaw=309.999997,Roll=0.000000)","(X=2.942503,Y=2.942503,Z=2.942503)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_24,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1081.673605,Y=-1389.225264,Z=-1.338600)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=3.150325,Y=3.150325,Z=3.150325)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var5_lod1.S_Thatching_Grass_uddmcgbia_Var5_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_25,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1096.534367,Y=-1475.009283,Z=1.034463)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=3.674583,Y=3.674583,Z=3.674583)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var5_lod1.S_Thatching_Grass_uddmcgbia_Var5_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_26,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1085.347771,Y=-1260.232184,Z=-1.076593)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var12_lod1.S_Thatching_Grass_uddmcgbia_Var12_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_27,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1085.902398,Y=-1450.054745,Z=0.710534)","(Pitch=0.000000,Yaw=-179.999999,Roll=0.000000)","(X=1.727129,Y=1.727129,Z=1.727129)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_28,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1115.000000,Y=-910.000000,Z=560.000000)","(Pitch=0.000000,Yaw=-179.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Assets/Environments/Arena/Courtyard/Meshes/SM_Arena_Courtyard_Floor_100cm_A_001.SM_Arena_Courtyard_Floor_100cm_A_001'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environments/Modules/Planks/Materials/MI_Environment_Planks_B_004""')))"
Row_29,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1085.902394,Y=-1487.103094,Z=0.710534)","(Pitch=0.000000,Yaw=-30.000000,Roll=0.000000)","(X=2.216877,Y=2.216877,Z=2.216877)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_30,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1073.485577,Y=-1351.200679,Z=0.778235)","(Pitch=0.000000,Yaw=49.999999,Roll=0.000000)","(X=3.153091,Y=3.153091,Z=3.153091)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var18_lod1.S_Thatching_Grass_uddmcgbia_Var18_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_31,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1073.823984,Y=-1293.191608,Z=0.806583)","(Pitch=0.000000,Yaw=-179.999999,Roll=0.000000)","(X=1.910196,Y=1.910196,Z=1.910196)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var19_lod1.S_Thatching_Grass_uddmcgbia_Var19_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_32,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1111.683287,Y=-396.030584,Z=0.000038)","(Pitch=0.000000,Yaw=109.999999,Roll=0.000000)","(X=2.274981,Y=2.274981,Z=2.274981)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_33,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1125.115130,Y=-1187.757149,Z=7.098627)","(Pitch=0.000000,Yaw=-209.999998,Roll=0.000000)","(X=1.559430,Y=1.559430,Z=1.559430)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var15_lod1.S_Thatching_Grass_uddmcgbia_Var15_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_34,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1108.457365,Y=-1027.659334,Z=6.136237)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.142102,Y=1.142102,Z=1.142102)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var1_lod1.S_Thatching_Grass_uddmcgbia_Var1_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
Row_35,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1091.508000,Y=-601.961620,Z=11.061630)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=3.318584,Y=3.318584,Z=3.318584)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/S_Thatching_Grass_uddmcgbia_Var6_lod1.S_Thatching_Grass_uddmcgbia_Var6_lod1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_2K""',MaterialInstanceConstant'""/Game/Megascans/3D_Plants/Thatching_Grass_uddmcgbia/MI_Thatching_Grass_uddmcgbia_Billboard_2K""')))"
